term_code,term_desc,term_start_date,enrollment_date,date,days,level_desc,student_type,online,_FREQ_,Official
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Graduate,New First Time Grad Applicant,Online Program,27,462
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Graduate,Returning,On-Campus Program,7,53
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Graduate,Returning,Online Program,1,52
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Graduate,Non Degree,On-Campus Program,,21
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Graduate,Non Degree,Online Program,,2
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Undergraduate,Continuing,On-Campus Program,4359,6294
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Undergraduate,Continuing,Online Program,226,1319
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Undergraduate,High School Special,On-Campus Program,,3
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Undergraduate,EKU Dual Credit,On-Campus Program,,769
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Undergraduate,New First Time Freshman,On-Campus Program,23,2150
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Undergraduate,New First Time Freshman,Online Program,5,122
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Undergraduate,Returning,On-Campus Program,31,169
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Undergraduate,Returning,Online Program,21,207
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Undergraduate,New First Time Transfer,On-Campus Program,129,469
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Undergraduate,New First Time Transfer,Online Program,52,525
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Undergraduate,Non Degree,On-Campus Program,2,25
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Undergraduate,Non Degree,Online Program,,12
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Undergraduate,Visiting,On-Campus Program,,2
202110,Fall 2020,17AUG2020:00:00:00,10APR2020:06:00:00,04-10,-129,Undergraduate,Visiting,Online Program,,4
202110,Fall 2020,17AUG2020:00:00:00,11APR2020:06:00:00,04-11,-128,Graduate,Continuing,On-Campus Program,148,563
202110,Fall 2020,17AUG2020:00:00:00,11APR2020:06:00:00,04-11,-128,Graduate,Continuing,Online Program,65,885
